Depth (m),EDC3_gas_a (yr),CO2 (ppmv),sigma (ppmv),Depth (m).1,EDC3_gas_a (yr).1,CO2 (ppmv).1,Depth (m).2,tentatively synchronized on EDC3_gas_a (yr),CO2 (ppmv).2,sigma (ppmv).1,Depth (m).3,EDC3_gas_a (yr).2,CO2 (ppmv).3,sigma (ppmv).2,Depth (m).4,EDC3_gas_a (yr).3,CO2 (ppmv).4,Depth (m).5,EDC3_gas_a (yr).4,CO2 (ppmv).5,sigma (ppmv).3,Depth (m).6,EDC3_gas_a (yr).5,CO2 (ppmv).6
325.0,7990.0,261.3,0.9,1890.0,129146,264.1,,,,,2845.11,487541.0,237.1,1.8,,,,3100.32,696963.0,232.9,0.6,,,
326.55,8050.0,260.7,0.4,1895.0,129340,263.4,,,,,2846.22,488268.0,242.0,0.2,,,,3100.92,697331.0,232.4,0.7,,,
330.5,8181.0,261.8,1.0,1902.0,129652,257.9,,,,,2846.86,488689.0,240.9,0.4,,,,3101.43,697660.0,232.2,0.5,,,
333.27,8281.0,259.0,1.1,1903.5,129736,259.0,,,,,2847.33,488996.0,252.8,2.5,,,,3102.13,698120.0,231.0,1.0,,,
336.02,8387.0,260.9,0.7,1930.0,131329,245.0,,,,,2848.05,489475.0,249.3,2.7,,,,3102.52,698386.0,228.0,0.5,,,
338.65,8477.0,260.4,0.6,1932.0,131455,240.4,,,,,2848.42,489722.0,242.6,0.6,,,,3103.25,698880.0,226.4,1.0,,,
341.5,8579.0,259.3,1.0,1936.0,131728,228.9,,,,,2849.53,490445.0,243.3,1.3,,,,3103.57,699102.0,227.7,0.7,,,
343.72,8653.0,262.0,0.8,1947.0,132492,223.5,,,,,2850.63,491191.0,246.7,1.6,,,,3104.33,699633.0,227.6,1.6,,,
347.02,8784.0,263.7,1.2,1954.5,133069,223.9,,,,,2851.72,491959.0,243.7,1.4,,,,3104.71,699909.0,226.0,0.3,,,
349.75,8869.0,263.8,0.8,1955.0,133105,220.3,,,,,2852.82,492738.0,239.7,1.9,,,,3105.36,700389.0,228.7,1.3,,,
352.58,8973.0,265.2,0.9,1960.0,133427,210.6,,,,,2853.91,493507.0,239.1,1.2,,,,3105.82,700744.0,227.6,1.1,,,
355.82,9092.0,260.6,1.7,1969.8,134123,208.9,,,,,2855.03,494311.0,238.3,2.0,,,,3106.46,701242.0,228.2,0.5,,,
357.47,9140.0,260.9,0.6,1972.0,134287,203.7,,,,,2856.12,495085.0,238.5,1.4,,,,3106.92,701606.0,228.8,1.4,,,
360.2,9232.0,263.0,0.4,1980.2,134960,204.5,,,,,2857.22,495853.0,237.6,1.6,,,,3107.64,702158.0,229.3,0.5,,,
362.98,9317.0,263.8,1.2,1982.0,135114,200.4,,,,,2858.32,496608.0,236.4,2.1,,,,3107.93,702381.0,230.3,1.7,,,
369.55,9536.0,264.4,0.4,1983.0,135207,198.0,,,,,2859.43,497366.0,236.5,1.7,,,,3108.65,702988.0,232.4,1.3,,,
371.23,9597.0,264.2,0.9,1987.4,135603,198.0,,,,,2860.51,498104.0,232.8,0.8,,,,3109.12,703384.0,232.8,1.6,,,
375.05,9721.0,264.0,0.3,1990.6,135883,201.7,,,,,2861.62,498865.0,230.6,0.5,,,,3109.75,703934.0,231.2,1.8,,,
377.27,9807.0,263.4,0.1,1992.0,136011,200.7,,,,,2862.72,499610.0,230.8,1.0,,,,3110.07,704211.0,231.2,0.9,,,
380.0,9909.0,265.7,0.5,1994.6,136251,202.4,,,,,2863.83,500363.0,228.2,1.7,,,,3110.88,704973.0,233.9,0.8,,,
382.22,9983.0,264.9,0.4,1998.0,136567,195.8,,,,,2864.93,501130.0,230.8,1.4,,,,3111.32,705410.0,228.5,1.5,,,
385.13,10088.0,267.5,0.4,1999.0,136655,201.1,,,,,2866.02,501866.0,231.2,0.8,,,,3112.05,706141.0,228.6,1.0,,,
388.23,10209.0,266.9,0.6,2005.8,137293,194.3,,,,,2867.13,502625.0,232.0,1.6,,,,3112.31,706409.0,228.1,1.0,,,
390.45,10294.0,266.0,1.1,2009.5,137633,193.4,,,,,2868.23,503375.0,232.2,1.4,,,,3115.25,709680.0,219.7,0.6,,,
393.78,10417.0,265.1,1.6,2013.0,137982,194.2,,,,,2869.32,504083.0,234.1,0.8,,,,3115.72,710237.0,220.2,0.3,,,
396.5,10527.0,267.6,0.7,2015.0,138185,190.2,,,,,2870.42,504777.0,233.9,1.1,,,,3116.42,711104.0,218.9,1.5,,,
399.28,10621.0,264.8,0.6,2025.7,139275,192.3,,,,,2871.52,505516.0,235.5,1.8,,,,3116.68,711421.0,218.7,1.4,,,
402.0,10744.0,264.8,0.4,2029.0,139617,196.5,,,,,2872.62,506287.0,236.0,2.1,,,,3117.81,712833.0,218.5,0.5,,,
404.19,10805.0,265.0,0.8,2041.0,140899,195.6,,,,,2873.72,507011.0,238.2,0.9,,,,3118.6,713843.0,222.3,1.6,,,
404.78,10827.0,265.3,0.4,2041.5,140960,196.4,,,,,2874.82,507714.0,237.0,0.8,,,,3118.95,714288.0,221.7,2.0,,,
406.39,10895.0,264.4,1.5,2050.3,142058,190.4,,,,,2875.92,508476.0,240.3,0.7,,,,3119.67,715180.0,217.7,0.6,,,
407.5,10933.0,264.1,0.7,2077.5,145363,196.9,,,,,2877.02,509247.0,233.4,1.0,,,,3120.12,715750.0,222.1,0.6,,,
409.7,11014.0,264.2,1.1,2107.05,148831,203.0,,,,,2878.12,510008.0,236.4,1.4,,,,3120.85,716704.0,208.1,0.7,,,
411.38,11087.0,264.5,0.4,2116.0,149803,191.9,,,,,2879.22,510765.0,235.2,0.5,,,,3121.13,717065.0,205.0,1.7,,,
413.03,11136.0,264.0,0.5,2117.0,149921,188.9,,,,,2880.32,511515.0,242.0,0.8,,,,3121.86,718064.0,192.9,1.2,,,
414.75,11201.0,263.0,1.3,2131.1,151423,200.6,,,,,2881.42,512269.0,238.2,1.0,,,,3122.32,718779.0,184.3,1.1,,,
415.73,11236.0,265.2,0.8,2157.0,154480,189.0,,,,,2882.52,512997.0,239.2,1.2,,,,3122.95,719794.0,187.8,1.6,,,
417.07,11278.0,258.8,0.7,2164.0,155395,185.5,,,,,2883.62,513724.0,241.5,1.3,,,,3123.35,720337.0,195.2,0.8,,,
418.53,11338.0,260.8,0.5,2167.2,155813,187.5,,,,,2884.72,514429.0,243.0,0.5,,,,3124.06,721318.0,206.3,0.8,,,
420.49,11392.0,255.4,0.3,2203.0,159562,204.3,,,,,2885.82,515113.0,247.2,2.2,,,,3124.52,722039.0,211.3,0.9,,,
421.8,11436.0,253.9,0.6,2207.3,159943,196.5,,,,,2886.92,515771.0,246.2,2.6,,,,3125.27,723133.0,213.4,1.2,,,
422.9,11469.0,253.8,0.8,2225.0,161679,191.6,,,,,2888.02,516417.0,245.5,1.1,,,,3125.53,723464.0,213.2,1.3,,,
426.1,11580.0,250.7,1.1,2231.05,162228,190.1,,,,,2889.12,517069.0,245.3,1.3,,,,3126.27,724445.0,210.3,2.0,,,
427.33,11635.0,249.7,0.4,2240.15,163024,186.7,,,,,2890.22,517706.0,247.7,1.4,,,,3126.72,725059.0,206.3,0.7,,,
428.3,11676.0,251.1,0.3,2247.0,163698,183.8,,,,,2891.32,518334.0,245.5,0.8,,,,3127.41,725937.0,206.6,1.8,,,
429.5,11727.0,250.7,0.9,2254.05,164439,196.6,,,,,2892.42,518965.0,243.5,0.7,,,,3127.73,726322.0,208.1,1.2,,,
431.73,11819.0,245.3,1.1,2280.0,167183,197.8,,,,,2895.71,520892.0,241.9,1.4,,,,3128.45,727192.0,204.5,0.4,,,
433.79,11896.0,245.3,0.6,2302.0,169492,197.7,,,,,2896.82,521552.0,236.8,0.8,,,,3128.91,727732.0,205.5,1.3,,,
